fullname,abbr,issn,category,rank,ccf-rank,分区,Top 期刊
Nature,NATURE,0028-0836,综合性期刊,A,,1,是
Science,SCIENCE,0036-8075,综合性期刊,A,,1,是
Cell,CELL,0092-8674,生物学,A,,1,是
Nature Communications,NAT COMMUN,2041-1723,综合性期刊,A-,,1,是
Science Advances,SCI ADV,2375-2548,综合性期刊,A-,,1,是
Proceedings of the National Academy of Sciences of the United States of America,P NATL ACAD SCI USA,0027-8424,综合性期刊,A-,,1,是
Nature Immunology,NAT IMMUNOL,1529-2908,医学,A-,,1,是
Nature Medicine,NAT MED,1078-8956,医学,A-,,1,是
Nature Neuroscience,NAT NEUROSCI,1097-6256,医学,A-,,1,是
Nature Reviews Cancer,NAT REV CANCER,1474-175X,医学,A-,,1,是
Nature Reviews Cardiology,NAT REV CARDIOL,1759-5002,医学,A-,,1,是
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,1759-4774,医学,A-,,1,是
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,2056-676X,医学,A-,,1,是
Nature Reviews Drug Discovery,NAT REV DRUG DISCOV,1474-1776,医学,A-,,1,是
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,1759-5029,医学,A-,,1,是
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,1759-5045,医学,A-,,1,是
Nature Reviews Immunology,NAT REV IMMUNOL,1474-1733,医学,A-,,1,是
Nature Reviews Nephrology,NAT REV NEPHROL,1759-5061,医学,A-,,1,是
Nature Reviews Neurology,NAT REV NEUROL,1759-4758,医学,A-,,1,是
Nature Reviews Neuroscience,NAT REV NEUROSCI,1471-003X,医学,A-,,1,是
Nature Reviews Rheumatology,NAT REV RHEUMATOL,1759-4790,医学,A-,,1,是
Nature Reviews Urology,NAT REV UROL,1759-4812,医学,A-,,1,是
Science Immunology,SCI IMMUNOL,2470-9468,医学,A-,,1,是
Science Translational Medicine,SCI TRANSL MED,1946-6234,医学,A-,,1,是
Annals of Internal Medicine,ANN INTERN MED,0003-4819,医学,A-,,1,是
BMJ-British Medical Journal,BMJ-BRIT MED J,1756-1833,医学,A-,,1,是
Ca-A Cancer Journal for Clinicians,CA-CANCER J CLIN,0007-9235,医学,A-,,1,是
Cancer Cell,CANCER CELL,1535-6108,医学,A-,,1,是
Cancer Discovery,CANCER DISCOV,2159-8274,医学,A-,,1,是
Cell Stem Cell,CELL STEM CELL,1934-5909,医学,A-,,1,是
Circulation,CIRCULATION,0009-7322,医学,A-,,1,是
Clinical Microbiology Reviews,CLIN MICROBIOL REV,0893-8512,医学,A-,,1,是
European Heart Journal,EUR HEART J,0195-668X,医学,A-,,1,是
Immunity,IMMUNITY,1074-7613,医学,A-,,1,是
Journal of the American College of Cardiology,J AM COLL CARDIOL,0735-1097,医学,A-,,1,是
Journal of Clinical Oncology,J CLIN ONCOL,0732-183X,医学,A-,,1,是
Journal of Hepatology,J HEPATOL,0168-8278,医学,A-,,1,是
JAMA Oncology,JAMA ONCOL,2374-2437,医学,A-,,1,是
JAMA-Journal of the American Medical Association,JAMA-J AM MED ASSOC,0098-7484,医学,A-,,1,是
Lancet,LANCET,0140-6736,医学,A-,,1,是
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,2213-8587,医学,A-,,1,是
Lancet Global Health,LANCET GLOB HEALTH,2214-109X,医学,A-,,1,是
Lancet Infectious Diseases,LANCET INFECT DIS,1473-3099,医学,A-,,1,是
Lancet Neurology,LANCET NEUROL,1474-4422,医学,A-,,1,是
Lancet Oncology,LANCET ONCOL,1470-2045,医学,A-,,1,是
Lancet Respiratory Medicine,LANCET RESP MED,2213-2600,医学,A-,,1,是
New England Journal of Medicine,NEW ENGL J MED,0028-4793,医学,A-,,1,是
Physiological Reviews,PHYSIOL REV,0031-9333,医学,A-,,1,是
World Psychiatry,WORLD PSYCHIATRY,1723-8617,医学,A-,,1,是
Nature Human Behaviour,NAT HUM BEHAV,2397-3374,心理学,A-,,1,是
Psychological Bulletin,PSYCHOL BULL,0033-2909,心理学,A-,,1,是
Nature Astronomy,NAT ASTRON,2397-3366,物理与天体物理,A-,,1,是
Nature Photonics,NAT PHOTONICS,1749-4885,物理与天体物理,A-,,1,是
Nature Physics,NAT PHYS,1745-2473,物理与天体物理,A-,,1,是
Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,0066-4146,物理与天体物理,A-,,1,是
Living Reviews in Relativity,LIVING REV RELATIV,2367-3613,物理与天体物理,A-,,1,是
Living Reviews in Solar Physics,LIVING REV SOL PHYS,2367-3648,物理与天体物理,A-,,1,是
Physics Reports-Review Section of Physics Letters,PHYS REP,0370-1573,物理与天体物理,A-,,1,是
Physical Review Letters,PHYS REV LETT,0031-9007,物理与天体物理,A-,,1,是
Reviews of Modern Physics,REV MOD PHYS,0034-6861,物理与天体物理,A-,,1,是
Acta Mathematica,ACTA MATH-DJURSHOLM,0001-5962,数学,A-,,1,是
Annals of Mathematics,ANN MATH,0003-486X,数学,A-,,1,是
Inventiones Mathematicae,INVENT MATH,0020-9910,数学,A-,,1,是
Journal of the American Mathematical Society,J AM MATH SOC,0894-0347,数学,A-,,1,是
Nature Cell Biology,NAT CELL BIOL,1465-7392,生物学,A-,,1,是
Nature Chemical Biology,NAT CHEM BIOL,1552-4450,生物学,A-,,1,是
Nature Ecology & Evolution,NAT ECOL EVOL,2397-334X,生物学,A-,,1,是
Nature Genetics,NAT GENET,1061-4036,生物学,A-,,1,是
Nature Methods,NAT METHODS,1548-7091,生物学,A-,,1,是
Nature Microbiology,NAT MICROBIOL,2058-5276,生物学,A-,,1,是
Nature Plants,NAT PLANTS,2055-026X,生物学,A-,,1,是
Nature Protocols,NAT PROTOC,1754-2189,生物学,A-,,2,是
Nature Reviews Genetics,NAT REV GENET,1471-0056,生物学,A-,,1,是
Nature Reviews Microbiology,NAT REV MICROBIOL,1740-1526,生物学,A-,,1,是
Nature Reviews Molecular Cell Biology,NAT REV MOL CELL BIO,1471-0072,生物学,A-,,1,是
Nature Structural & Molecular Biology,NAT STRUCT MOL BIOL,1545-9993,生物学,A-,,1,是
Science Signaling,SCI SIGNAL,1945-0877,生物学,A-,,1,是
Annual Review of Biochemistry,ANNU REV BIOCHEM,0066-4154,生物学,A-,,1,是
Cell Metabolism,CELL METAB,1550-4131,生物学,A-,,1,是
Cell Research,CELL RES,1001-0602,生物学,A-,,1,是
Science Robotics,SCI ROBOT,2470-9476,计算机科学,A-,,1,是
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,1553-877X,计算机科学,A-,,1,是
Nature Chemistry,NAT CHEM,1755-4330,化学,A-,,1,是
Nature Reviews Chemistry,NAT REV CHEM,2397-3358,化学,A-,,1,是
Accounts of Chemical Research,ACCOUNTS CHEM RES,0001-4842,化学,A-,,1,是
Angewandte Chemie-International Edition,ANGEW CHEM INT EDIT,1433-7851,化学,A-,,1,是
Chemical Reviews,CHEM REV,0009-2665,化学,A-,,1,是
Chemical Society Reviews,CHEM SOC REV,0306-0012,化学,A-,,1,是
Journal of the American Chemical Society,J AM CHEM SOC,0002-7863,化学,A-,,1,是
Progress in Polymer Science,PROG POLYM SCI,0079-6700,化学,A-,,1,是
Nature Biomedical Engineering,NAT BIOMED ENG,2157-846X,工程技术,A-,,1,是
Nature Biotechnology,NAT BIOTECHNOL,1087-0156,工程技术,A-,,1,是
Proceedings of the IEEE,P IEEE,0018-9219,工程技术,A-,A,1,是
Progress in Energy and Combustion Science,PROG ENERG COMBUST,0360-1285,工程技术,A-,,1,是
Nature Climate Change,NAT CLIM CHANGE,1758-678X,地球科学,A-,,1,是
Nature Geoscience,NAT GEOSCI,1752-0894,地球科学,A-,,1,是
Reviews of Geophysics,REV GEOPHYS,8755-1209,地球科学,A-,,1,是
Nature Energy,NAT ENERGY,2058-7546,材料科学,A-,,1,是
Nature Materials,NAT MATER,1476-1122,材料科学,A-,,1,是
Nature Nanotechnology,NAT NANOTECHNOL,1748-3387,材料科学,A-,,1,是
Nature Reviews Materials,NAT REV MATER,2058-8437,材料科学,A-,,1,是
Advanced Energy Materials,ADV ENERGY MATER,1614-6832,材料科学,A-,,1,是
Advanced Materials,ADV MATER,0935-9648,材料科学,A-,,1,是
Energy & Environmental Science,ENERG ENVIRON SCI,1754-5692,材料科学,A-,,1,是
Materials Science & Engineering R-Reports,MAT SCI ENG R,0927-796X,材料科学,A-,,1,是
Materials Today,MATER TODAY,1369-7021,材料科学,A-,,1,是
Progress in Materials Science,PROG MATER SCI,0079-6425,材料科学,A-,,1,是
Nature Catalysis,NAT CATAL,2520-1158,/,A-,,1,是
Joule,JOULE,2542-4351,/,A-,,1,是
National Science Review,NATL SCI REV,2095-5138,综合性期刊,B,,1,是
Science Bulletin,SCI BULL,2095-9273,综合性期刊,B,,1,是
Acta Neuropathologica,ACTA NEUROPATHOL,0001-6322,医学,B,,1,是
Addiction,ADDICTION,0965-2140,医学,B,,2,是
Advanced Drug Delivery Reviews,ADV DRUG DELIVER REV,0169-409X,医学,B,,1,是
Advances in Virus Research,ADV VIRUS RES,0065-3527,医学,B,,,
Ageing Research Reviews,AGEING RES REV,1568-1637,医学,B,,1,是
Alimentary Pharmacology & Therapeutics,ALIMENT PHARM THER,0269-2813,医学,B,,1,是
Allergy,ALLERGY,0105-4538,医学,B,,1,是
Altex-Alternatives to Animal Experimentation,ALTEX-ALTERN ANIM EX,1868-596X,医学,B,,2,否
Alzheimers & Dementia,ALZHEIMERS DEMENT,1552-5260,医学,B,,1,是
American Journal of Clinical Nutrition,AM J CLIN NUTR,0002-9165,医学,B,,1,是
American Journal of Gastroenterology,AM J GASTROENTEROL,0002-9270,医学,B,,1,是
American Journal of Hematology,AM J HEMATOL,0361-8609,医学,B,,1,是
American Journal of Kidney Diseases,AM J KIDNEY DIS,0272-6386,医学,B,,1,是
American Journal of Obstetrics and Gynecology,AM J OBSTET GYNECOL,0002-9378,医学,B,,1,是
American Journal of Ophthalmology,AM J OPHTHALMOL,0002-9394,医学,B,,1,是
American Journal of Psychiatry,AM J PSYCHIAT,0002-953X,医学,B,,1,是
American Journal of Respiratory and Critical Care Medicine,AM J RESP CRIT CARE,1073-449X,医学,B,,1,是
American Journal of Sports Medicine,AM J SPORT MED,0363-5465,医学,B,,1,是
American Journal of Surgical Pathology,AM J SURG PATHOL,0147-5185,医学,B,,1,是
American Journal of Transplantation,AM J TRANSPLANT,1600-6135,医学,B,,1,是
Anesthesiology,ANESTHESIOLOGY,0003-3022,医学,B,,1,是
Angiogenesis,ANGIOGENESIS,0969-6970,医学,B,,1,是
Annals of Emergency Medicine,ANN EMERG MED,0196-0644,医学,B,,1,是
Annals of Neurology,ANN NEUROL,0364-5134,医学,B,,1,是
Annals of Oncology,ANN ONCOL,0923-7534,医学,B,,1,是
Annals of the Rheumatic Diseases,ANN RHEUM DIS,0003-4967,医学,B,,1,是
Annals of Surgery,ANN SURG,0003-4932,医学,B,,1,是
Annual Review of Immunology,ANNU REV IMMUNOL,0732-0582,医学,B,,1,是
Annual Review of Medicine,ANNU REV MED,0066-4219,医学,B,,1,是
Annual Review of Neuroscience,ANNU REV NEUROSCI,0147-006X,医学,B,,1,是
Annual Review of Nutrition,ANNU REV NUTR,0199-9885,医学,B,,1,是
Annual Review of Pathology- Mechanisms of Disease,ANNU REV PATHOL-MECH,1553-4006,医学,B,,1,是
Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,0362-1642,医学,B,,1,是
Annual Review of Physiology,ANNU REV PHYSIOL,0066-4278,医学,B,,1,是
Annual Review of Public Health,ANNU REV PUBL HEALTH,0163-7525,医学,B,,1,是
Annual Review of Vision Science,ANNU REV VIS SCI,2374-4642,医学,B,,2,否
Arteriosclerosis Thrombosis and Vascular Biology,ARTERIOSCL THROM VAS,1079-5642,医学,B,,1,是
Arthritis & Rheumatology,ARTHRITIS RHEUMATOL,2326-5191,医学,B,,1,是
Augmentative and Alternative Communication,AUGMENT ALTERN COMM,0743-4618,医学,B,,2,否
Autism Research,AUTISM RES,1939-3792,医学,B,,2,否
Autoimmunity Reviews,AUTOIMMUN REV,1568-9972,医学,B,,1,是
Bulletin of the World Health Organization,B WORLD HEALTH ORGAN,0042-9686,医学,B,,2,否
Basic Research in Cardiology,BASIC RES CARDIOL,0300-8428,医学,B,,1,是
Biological Psychiatry,BIOL PSYCHIAT,0006-3223,医学,B,,1,是
Bju International,BJU INT,1464-4096,医学,B,,2,否
Blood,BLOOD,0006-4971,医学,B,,1,是
BMC Medicine,BMC MED,1741-7015,医学,B,,1,是
BMJ Quality & Safety,BMJ QUAL SAF,2044-5415,医学,B,,1,是
Bone & Joint Journal,BONE JOINT J,2049-4394,医学,B,,1,是
Brain,BRAIN,0006-8950,医学,B,,1,是
Brain Behavior and Immunity,BRAIN BEHAV IMMUN,0889-1591,医学,B,,1,是
British Journal of Anaesthesia,BRIT J ANAESTH,0007-0912,医学,B,,1,是
British Journal of Cancer,BRIT J CANCER,0007-0920,医学,B,,2,是
British Journal of Psychiatry,BRIT J PSYCHIAT,0007-1250,医学,B,,1,是
British Journal of Sports Medicine,BRIT J SPORT MED,0306-3674,医学,B,,1,是
British Journal of Surgery,BRIT J SURG,0007-1323,医学,B,,1,是
Cancer Research,CANCER RES,0008-5472,医学,B,,1,是
Cancer Treatment Reviews,CANCER TREAT REV,0305-7372,医学,B,,1,是
Cancer,CANCER-AM CANCER SOC,0008-543X,医学,B,,1,是
Cardiovascular Diabetology,CARDIOVASC DIABETOL,1475-2840,医学,B,,1,是
Cardiovascular Research,CARDIOVASC RES,0008-6363,医学,B,,1,是
Cell Host & Microbe,CELL HOST MICROBE,1931-3128,医学,B,,1,是
Cellular & Molecular Immunology,CELL MOL IMMUNOL,1672-7681,医学,B,,1,是
Cerebral Cortex,CEREB CORTEX,1047-3211,医学,B,,3,否
Chest,CHEST,0012-3692,医学,B,,1,是
Chinese Medical Journal,CHINESE MED J-PEKING,0366-6999,医学,B,,2,否
Circulation Research,CIRC RES,0009-7330,医学,B,,1,是
Circulation-Arrhythmia and Electrophysiology,CIRC-ARRHYTHMIA ELEC,1941-3149,医学,B,,1,是
Circulation-Cardiovascular Imaging,CIRC-CARDIOVASC IMAG,1941-9651,医学,B,,1,是
Circulation-Cardiovascular Interventions,CIRC-CARDIOVASC INTE,1941-7640,医学,B,,1,是
Circulation-Heart Failure,CIRC-HEART FAIL,1941-3289,医学,B,,1,是
Clinical Cancer Research,CLIN CANCER RES,1078-0432,医学,B,,1,是
Clinical Chemistry,CLIN CHEM,0009-9147,医学,B,,2,否
Clinical and Experimental Allergy,CLIN EXP ALLERGY,0954-7894,医学,B,,2,否
Clinical Gastroenterology and Hepatology,CLIN GASTROENTEROL H,1542-3565,医学,B,,1,是
Clinical Infectious Diseases,CLIN INFECT DIS,1058-4838,医学,B,,2,是
Clinical Journal of the American Society of Nephrology,CLIN J AM SOC NEPHRO,1555-9041,医学,B,,1,是
Clinical Microbiology and Infection,CLIN MICROBIOL INFEC,1198-743X,医学,B,,2,是
Clinical Research in Cardiology,CLIN RES CARDIOL,1861-0684,医学,B,,2,否
Clinical Reviews in Allergy & Immunology,CLIN REV ALLERG IMMU,1080-0549,医学,B,,1,是
Cochrane Database of Systematic Reviews,COCHRANE DB SYST REV,1469-493X,医学,B,,2,是
Comprehensive Physiology,COMPR PHYSIOL,2040-4603,医学,B,,2,否
Contact Dermatitis,CONTACT DERMATITIS,0105-1873,医学,B,,1,是
Critical Care,CRIT CARE,1466-609X,医学,B,,1,是
Critical Care Medicine,CRIT CARE MED,0090-3493,医学,B,,1,是
Depression and Anxiety,DEPRESS ANXIETY,1091-4269,医学,B,,2,否
Diabetes,DIABETES,0012-1797,医学,B,,2,是
Diabetes Care,DIABETES CARE,0149-5992,医学,B,,1,是
Diabetologia,DIABETOLOGIA,0012-186X,医学,B,,1,是
Drug Resistance Updates,DRUG RESIST UPDATE,1368-7646,医学,B,,1,是
Deutsches Arzteblatt International,DTSCH ARZTEBL INT,1866-0452,医学,B,,2,否
Ebiomedicine,EBIOMEDICINE,2352-3964,医学,B,,1,是
EMBO Molecular Medicine,EMBO MOL MED,1757-4676,医学,B,,1,是
Emerging Infectious Diseases,EMERG INFECT DIS,1080-6040,医学,B,,2,是
Endocrine Reviews,ENDOCR REV,0163-769X,医学,B,,1,是
Endoscopy,ENDOSCOPY,0013-726X,医学,B,,1,是
Epidemiologic Reviews,EPIDEMIOL REV,0193-936X,医学,B,,2,否
Epilepsia,EPILEPSIA,0013-9580,医学,B,,1,是
European Heart Journal-Cardiovascular Pharmacotherapy,EUR HEART J-CARD PHA,2055-6837,医学,B,,2,否
European Journal of Cancer,EUR J CANCER,0959-8049,医学,B,,1,是
European Journal of Endocrinology,EUR J ENDOCRINOL,0804-4643,医学,B,,2,是
European Journal of Epidemiology,EUR J EPIDEMIOL,0393-2990,医学,B,,2,否
European Journal of Heart Failure,EUR J HEART FAIL,1388-9842,医学,B,,1,是
European Journal of Medicinal Chemistry,EUR J MED CHEM,0223-5234,医学,B,,2,否
European Journal of Nuclear Medicine and Molecular Imaging,EUR J NUCL MED MOL I,1619-7070,医学,B,,1,是
European Journal of Preventive Cardiology,EUR J PREV CARDIOL,2047-4873,医学,B,,1,是
European Respiratory Journal,EUR RESPIR J,0903-1936,医学,B,,1,是
European Urology,EUR UROL,0302-2838,医学,B,,1,是
Exercise Immunology Review,EXERC IMMUNOL REV,1077-5552,医学,B,,4,否
Fertility and Sterility,FERTIL STERIL,0015-0282,医学,B,,1,是
Frontiers in Neuroendocrinology,FRONT NEUROENDOCRIN,0091-3022,医学,B,,2,否
Gastroenterology,GASTROENTEROLOGY,0016-5085,医学,B,,1,是
Gastrointestinal Endoscopy,GASTROINTEST ENDOSC,0016-5107,医学,B,,1,是
Genetics in Medicine,GENET MED,1098-3600,医学,B,,1,是
Glia,GLIA,0894-1491,医学,B,,2,否
Gut,GUT,0017-5749,医学,B,,1,是
Gynecologic Oncology,GYNECOL ONCOL,0090-8258,医学,B,,2,是
Haematologica,HAEMATOLOGICA,0390-6078,医学,B,,1,是
Health Affairs,HEALTH AFFAIR,0278-2715,医学,B,,1,是
Hepatology,HEPATOLOGY,0270-9139,医学,B,,1,是
Human Reproduction,HUM REPROD,0268-1161,医学,B,,1,是
Human Reproduction Update,HUM REPROD UPDATE,1355-4786,医学,B,,1,是
Hypertension,HYPERTENSION,0194-911X,医学,B,,1,是
Immunological Reviews,IMMUNOL REV,0105-2896,医学,B,,2,否
Implementation Science,IMPLEMENT SCI,1748-5908,医学,B,,1,是
International Journal of Behavioral Nutrition and Physical Activity,INT J BEHAV NUTR PHY,1479-5868,医学,B,,1,是
International Journal of Cancer,INT J CANCER,0020-7136,医学,B,,2,否
International Journal of Epidemiology,INT J EPIDEMIOL,0300-5771,医学,B,,2,是
International Journal of Nursing Studies,INT J NURS STUD,0020-7489,医学,B,,1,是
International Journal of Oral Science,INT J ORAL SCI,1674-2818,医学,B,,1,是
International Journal of Radiation Oncology Biology Physics,INT J RADIAT ONCOL,0360-3016,医学,B,,1,是
Intensive Care Medicine,INTENS CARE MED,0342-4642,医学,B,,1,是
Investigative Radiology,INVEST RADIOL,0020-9996,医学,B,,1,是
Journal of Allergy and Clinical Immunology-In Practice,J ALLER CL IMM-PRACT,2213-2198,医学,B,,1,是
Journal of Allergy and Clinical Immunology,J ALLERGY CLIN IMMUN,0091-6749,医学,B,,1,是
Journal of the American Academy of Child and Adolescent Psychiatry,J AM ACAD CHILD PSY,0890-8567,医学,B,,1,是
Journal of the American Academy of Dermatology,J AM ACAD DERMATOL,0190-9622,医学,B,,1,是
Journal of the American College of Surgeons,J AM COLL SURGEONS,1072-7515,医学,B,,2,否
Journal of the American Geriatrics Society,J AM GERIATR SOC,0002-8614,医学,B,,2,否
Journal of the American Society of Nephrology,J AM SOC NEPHROL,1046-6673,医学,B,,1,是
Journal of Autoimmunity,J AUTOIMMUN,0896-8411,医学,B,,1,是
Journal of Bone and Joint Surgery-American Volume,J BONE JOINT SURG AM,0021-9355,医学,B,,1,是
Journal of Bone and Mineral Research,J BONE MINER RES,0884-0431,医学,B,,1,是
Journal of Cachexia Sarcopenia and Muscle,J CACHEXIA SARCOPENI,2190-5991,医学,B,,1,是
Journal of Cancer Survivorship,J CANCER SURVIV,1932-2259,医学,B,,2,否
Journal of Cardiovascular Magnetic Resonance,J CARDIOVASC MAGN R,1097-6647,医学,B,,2,否
Journal of Cerebral Blood Flow and Metabolism,J CEREBR BLOOD F MET,0271-678X,医学,B,,2,否
Journal of Child Psychology and Psychiatry,J CHILD PSYCHOL PSYC,0021-9630,医学,B,,1,是
Journal of Clinical Endocrinology & Metabolism,J CLIN ENDOCR METAB,0021-972X,医学,B,,2,是
Journal of Clinical Investigation,J CLIN INVEST,0021-9738,医学,B,,1,是
Journal of Controlled Release,J CONTROL RELEASE,0168-3659,医学,B,,1,是
Journal of Crohns & Colitis,J CROHNS COLITIS,1873-9946,医学,B,,2,是
Journal of Dental Research,J DENT RES,0022-0345,医学,B,,1,是
Journal of Experimental Medicine,J EXP MED,0022-1007,医学,B,,1,是
Journals of Gerontology Series A-Biological Sciences and Medical Sciences,J GERONTOL A-BIOL,1079-5006,医学,B,,2,否
Journals of Gerontology Series B-Psychological Sciences and Social Sciences,J GERONTOL B-PSYCHOL,1079-5014,医学,B,,2,是
Journal of Heart and Lung Transplantation,J HEART LUNG TRANSPL,1053-2498,医学,B,,1,是
Journal of Hematology & Oncology,J HEMATOL ONCOL,1756-8722,医学,B,,1,是
Journal of Internal Medicine,J INTERN MED,0954-6820,医学,B,,1,是
Journal of Medicinal Chemistry,J MED CHEM,0022-2623,医学,B,,1,是
Journal of Medical Genetics,J MED GENET,0022-2593,医学,B,,2,否
Journal of Neuroinflammation,J NEUROINFLAMM,1742-2094,医学,B,,1,是
Journal of Neurology Neurosurgery and Psychiatry,J NEUROL NEUROSUR PS,0022-3050,医学,B,,1,是
Journal of Neuroscience,J NEUROSCI,0270-6474,医学,B,,2,是
Journal of Nuclear Medicine,J NUCL MED,0161-5505,医学,B,,1,是
Journal of Nursing Management,J NURS MANAGE,0966-0429,医学,B,,2,否
Journal of Pathology,J PATHOL,0022-3417,医学,B,,2,否
Journal of Pharmaceutical Analysis,J PHARM ANAL,2095-1779,医学,B,,1,是
Journal of Physiotherapy,J PHYSIOTHER,1836-9553,医学,B,,1,是
Journal of Pineal Research,J PINEAL RES,0742-3098,医学,B,,1,是
Journal of Sport and Health Science,J SPORT HEALTH SCI,2095-2546,医学,B,,1,是
Journal of Thoracic Oncology,J THORAC ONCOL,1556-0864,医学,B,,1,是
Journal of Tissue Viability,J TISSUE VIABILITY,0965-206X,医学,B,,3,否
Journal of Urology,J UROLOGY,0022-5347,医学,B,,2,否
JACC-Cardiovascular Imaging,JACC-CARDIOVASC IMAG,1936-878X,医学,B,,1,是
JACC-Cardiovascular Interventions,JACC-CARDIOVASC INTE,1936-8798,医学,B,,1,是
JACC-Heart Failure,JACC-HEART FAIL,2213-1779,医学,B,,1,是
JAMA Cardiology,JAMA CARDIOL,2380-6583,医学,B,,1,是
JAMA Dermatology,JAMA DERMATOL,2168-6068,医学,B,,1,是
JAMA Internal Medicine,JAMA INTERN MED,2168-6106,医学,B,,1,是
JAMA Neurology,JAMA NEUROL,2168-6149,医学,B,,1,是
JAMA Ophthalmology,JAMA OPHTHALMOL,2168-6165,医学,B,,1,是
JAMA Pediatrics,JAMA PEDIATR,2168-6203,医学,B,,1,是
JAMA Psychiatry,JAMA PSYCHIAT,2168-622X,医学,B,,1,是
JAMA Surgery,JAMA SURG,2168-6254,医学,B,,1,是
JCI Insight,JCI INSIGHT,2379-3708/2324-7703,医学,B,,,
JNCI-Journal of the National Cancer Institute,JNCI-J NATL CANCER I,0027-8874,医学,B,,1,是
Kidney International,KIDNEY INT,0085-2538,医学,B,,1,是
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,2468-1253,医学,B,,1,是
Lancet Haematology,LANCET HAEMATOL,2352-3026,医学,B,,1,是
Lancet HIV,LANCET HIV,2352-3018,医学,B,,1,是
Lancet Psychiatry,LANCET PSYCHIAT,2215-0374,医学,B,,1,是
Lancet Public Health,LANCET PUBLIC HEALTH,2468-2667,医学,B,,1,是
Leukemia,LEUKEMIA,0887-6924,医学,B,,1,是
Liver Cancer,LIVER CANCER,2235-1795,医学,B,,1,是
Liver International,LIVER INT,1478-3223,医学,B,,2,是
Mayo Clinic Proceedings,MAYO CLIN PROC,0025-6196,医学,B,,2,是
Medicinal Research Reviews,MED RES REV,0198-6325,医学,B,,1,是
Milbank Quarterly,MILBANK Q,0887-378X,医学,B,,4,否
MMWR-Morbidity and Mortality Weekly Report,MMWR-MORBID MORTAL W,0149-2195,医学,B,,1,是
Modern Pathology,MODERN PATHOL,0893-3952,医学,B,,1,是
Molecular Aspects of Medicine,MOL ASPECTS MED,0098-2997,医学,B,,2,否
Molecular Autism,MOL AUTISM,2040-2392,医学,B,,1,是
Molecular Cancer,MOL CANCER,1476-4598,医学,B,,1,是
Molecular Metabolism,MOL METAB,2212-8778,医学,B,,2,是
Molecular Neurodegeneration,MOL NEURODEGENER,1750-1326,医学,B,,1,是
Molecular Psychiatry,MOL PSYCHIATR,1359-4184,医学,B,,1,是
Molecular Therapy,MOL THER,1525-0016,医学,B,,1,是
Movement Disorders,MOVEMENT DISORD,0885-3185,医学,B,,1,是
Mucosal Immunology,MUCOSAL IMMUNOL,1933-0219,医学,B,,2,否
Mutation Research-Reviews in Mutation Research,MUTAT RES-REV MUTAT,1383-5742,医学,B,,2,否
Neuroimage,NEUROIMAGE,1053-8119,医学,B,,2,是
Neurology-Neuroimmunology & Neuroinflammation,NEUROL-NEUROIMMUNOL,2332-7812,医学,B,,1,是
Neurology,NEUROLOGY,0028-3878,医学,B,,1,是
Neuron,NEURON,0896-6273,医学,B,,1,是
Neuro-Oncology,NEURO-ONCOLOGY,1522-8517,医学,B,,1,是
Neuropsychopharmacology,NEUROPSYCHOPHARMACOL,0893-133X,医学,B,,2,是
NPJ Vaccines,NPJ VACCINES,2059-0105,医学,B,,2,是
Nurse Education Today,NURS EDUC TODAY,0260-6917,医学,B,,2,否
Obesity Reviews,OBES REV,1467-7881,医学,B,,2,是
Ocular Surface,OCUL SURF,1542-0124,医学,B,,1,是
Oncogene,ONCOGENE,0950-9232,医学,B,,1,是
Ophthalmology,OPHTHALMOLOGY,0161-6420,医学,B,,1,是
Pain,PAIN,0304-3959,医学,B,,1,是
Palliative Medicine,PALLIATIVE MED,0269-2163,医学,B,,2,否
Particle and Fibre Toxicology,PART FIBRE TOXICOL,1743-8977,医学,B,,1,是
Periodontology 2000,PERIODONTOL 2000,0906-6713,医学,B,,1,是
Pharmacological Reviews,PHARMACOL REV,0031-6997,医学,B,,1,是
Pharmacology & Therapeutics,PHARMACOL THERAPEUT,0163-7258,医学,B,,1,是
Phytomedicine,PHYTOMEDICINE,0944-7113,医学,B,,1,是
Plastic and Reconstructive Surgery,PLAST RECONSTR SURG,0032-1052,医学,B,,2,否
PLOS Medicine,PLOS MED,1549-1277,医学,B,,1,是
PLOS Pathogens,PLOS PATHOG,1553-7366,医学,B,,1,是
Progress in Lipid Research,PROG LIPID RES,0163-7827,医学,B,,1,是
Progress in Neurobiology,PROG NEUROBIOL,0301-0082,医学,B,,2,否
Progress in Retinal and Eye Research,PROG RETIN EYE RES,1350-9462,医学,B,,1,是
Psychological Medicine,PSYCHOL MED,0033-2917,医学,B,,2,是
Psychology of Sport and Exercise,PSYCHOL SPORT EXERC,1469-0292,医学,B,,2,是
Psycho-Oncology,PSYCHO-ONCOLOGY,1057-9249,医学,B,,2,否
